,timestep,total-effect,direct-effect,indirect-effect-age,indirect-effect-annhrs,indirect-effect-yrsexp
0,1981,-0.010337379454193406,-0.0058951115055645,6.285353409699587e-05,-0.003568141224032558,-0.0009369802586933438
1,1990,-0.014127270757268504,-0.007395270837632697,-5.4346470518264654e-05,-0.005264427665806419,-0.0014132257833111234
2,1999,-0.021011343454416305,-0.012265781464601971,3.066483732581115e-05,-0.0077941534613620135,-0.0009820733657781326
3,2007,-0.025313973837315977,-0.015764599393120242,1.0611275294678349e-05,-0.008754019689421888,-0.0008059660300685283
4,2009,-0.028192355200859436,-0.020539650325630904,5.344046676319355e-05,-0.007341674735948061,-0.00036447060604366397
5,2011,-0.02693897905331459,-0.020085641542306475,-0.0006797803360721527,-0.006700095606713361,0.0005265384317773981
