,timestep,total-effect,direct-effect,indirect-effect-age,indirect-effect-annhrs,indirect-effect-yrsexp,spurious-effect
0,1981,-0.01029728240924097,-0.005855014460612064,6.285353409699587e-05,-0.003568141224032558,-0.0009369802586933438,-4.0097044952436094e-05
1,1990,-0.014155802478920435,-0.0074238025592846275,-5.4346470518264654e-05,-0.005264427665806419,-0.0014132257833111234,2.8531721651930096e-05
2,1999,-0.02069094865945899,-0.011945386669644658,3.066483732581115e-05,-0.0077941534613620135,-0.0009820733657781326,-0.0003203947949573134
3,2007,-0.02515194072470594,-0.0156025662805102,1.0611275294678349e-05,-0.008754019689421888,-0.0008059660300685283,-0.00016203311261004175
4,2009,-0.02827112355051921,-0.020618418675290677,5.344046676319355e-05,-0.007341674735948061,-0.00036447060604366397,7.876834965977325e-05
5,2011,-0.026938073545642354,-0.02008473603463424,-0.0006797803360721527,-0.006700095606713361,0.0005265384317773981,-9.05507672236544e-07
