,timestep,total-effect,direct-effect,indirect-effect,spurious-effect
0,0,3.0490946249841873,1.2716924269640135,0.3558255043672013,1.4215766936529726
1,1,3.182760531571997,1.3718065592184123,0.2753303940566166,1.5356235782969683
2,2,3.48312465047432,1.457624110813547,0.40617866123637736,1.6193218784243952
3,3,3.880412838437362,1.5677795540160384,0.585975390444613,1.726657893976711
4,4,4.098573612361026,1.8085153663548874,0.32498204511144757,1.9650762008946914
5,5,4.196159197678348,1.8269490284553345,0.3840878838683382,1.9851222853546755
6,6,4.208290443516831,1.8589345217637303,0.3279905807302086,2.021365341022892
7,7,4.654296070918663,2.07694953402894,0.3285882953439281,2.248758241545795
