sex,wave,age,annhrs,annwks,yrsexp,annlabinc,region
2,1990,41,1837,49.0,7.0,15000.0,1.0
1,1990,32,2042,51.0,14.0,52000.0,3.0
1,1990,28,2106,49.0,10.0,20500.0,3.0
1,1990,62,3064,13.0,44.0,5600.0,3.0
1,1990,33,2500,50.0,14.0,13900.0,2.0
1,1990,40,2805,51.0,22.0,36000.0,2.0
1,1990,34,1940,47.0,16.0,23000.0,1.0
2,1990,28,2000,50.0,8.0,17500.0,1.0
2,1990,35,1944,49.0,5.0,17800.0,2.0
1,1990,29,2080,52.0,10.0,13000.0,3.0
2,1990,37,1744,44.0,16.0,47020.0,3.0
2,1990,55,524,0.0,2.0,2100.0,3.0
1,1990,32,2000,50.0,14.0,21000.0,3.0
2,1990,33,2635,48.0,15.0,15000.0,3.0
2,1990,38,2460,51.0,19.0,20000.0,3.0
2,1990,53,2024,51.0,35.0,13137.0,3.0
2,1990,61,1520,38.0,35.0,7708.0,3.0
1,1990,52,2753,47.0,34.0,70000.0,2.0
2,1990,41,1785,51.0,10.0,10000.0,4.0
1,1990,46,3003,52.0,28.0,20000.0,3.0
1,1990,37,2050,50.0,18.0,15000.0,3.0
1,1990,35,2058,49.0,17.0,22229.0,3.0
1,1990,32,2152,51.0,14.0,32000.0,1.0
2,1990,60,1900,0.0,28.0,21926.0,2.0
2,1990,35,1488,50.0,17.0,12000.0,4.0
1,1990,34,2000,50.0,16.0,34650.0,3.0
2,1990,37,1853,47.0,19.0,25000.0,1.0
2,1990,30,984,49.0,10.0,3000.0,1.0
1,1990,29,2240,51.0,11.0,13974.0,3.0
2,1990,29,2024,51.0,11.0,12400.0,3.0
2,1990,36,1568,39.0,17.0,29000.0,1.0
2,1990,43,2192,51.0,25.0,14000.0,3.0
2,1990,33,325,13.0,15.0,2063.0,3.0
2,1990,35,2000,50.0,17.0,16000.0,3.0
2,1990,48,1086,39.0,27.0,12000.0,4.0
2,1990,49,1236,47.0,31.0,23000.0,3.0
1,1990,50,2040,51.0,32.0,12000.0,3.0
2,1990,42,2940,49.0,11.0,25000.0,3.0
2,1990,31,1798,43.0,13.0,8700.0,3.0
2,1990,36,1880,47.0,18.0,30000.0,3.0
1,1990,31,2100,50.0,13.0,36000.0,2.0
1,1990,40,2120,48.0,22.0,30600.0,3.0
1,1990,42,3000,50.0,24.0,32000.0,3.0
2,1990,45,2016,50.0,15.0,16500.0,1.0
2,1990,35,1920,48.0,17.0,20000.0,2.0
1,1990,52,1120,51.0,17.0,3900.0,3.0
1,1990,35,2040,49.0,17.0,21000.0,3.0
2,1990,40,1267,34.0,21.0,23000.0,4.0
1,1990,45,2500,50.0,27.0,23500.0,2.0
2,1990,43,1474,39.0,9.0,18083.0,1.0
1,1990,26,2219,51.0,8.0,24500.0,3.0
1,1990,25,2156,50.0,7.0,8000.0,2.0
2,1990,26,4259,51.0,8.0,23000.0,3.0
2,1990,35,1984,50.0,17.0,15000.0,1.0
2,1990,36,1344,34.0,17.0,2500.0,2.0
1,1990,38,3040,51.0,20.0,32000.0,2.0
1,1990,30,42,1.0,11.0,200.0,3.0
1,1990,41,2058,49.0,23.0,29000.0,2.0
1,1990,45,1980,47.0,27.0,39119.0,4.0
2,1990,31,2250,50.0,13.0,29311.0,1.0
1,1990,42,2322,41.0,24.0,49000.0,1.0
1,1990,38,2430,49.0,20.0,100000.0,2.0
2,1990,41,2040,51.0,13.0,22300.0,3.0
1,1990,42,2500,50.0,24.0,95000.0,1.0
2,1990,36,2250,50.0,18.0,60000.0,3.0
2,1990,32,2262,50.0,14.0,26000.0,2.0
2,1990,30,1896,47.0,12.0,40000.0,1.0
1,1990,32,1584,36.0,9.0,26000.0,3.0
1,1990,28,1432,36.0,6.0,21000.0,4.0
2,1990,26,2448,36.0,8.0,16000.0,1.0
1,1990,34,1996,49.0,16.0,19000.0,1.0
2,1990,64,1017,47.0,41.0,7824.0,3.0
1,1990,38,2032,49.0,17.0,17065.0,3.0
2,1990,28,578,34.0,10.0,2000.0,1.0
2,1990,33,2000,50.0,15.0,18500.0,2.0
1,1990,47,2232,50.0,29.0,20259.0,3.0
1,1990,59,2102,51.0,40.0,10000.0,3.0
2,1990,39,1920,48.0,21.0,21000.0,1.0
2,1990,62,600,50.0,4.0,4000.0,4.0
1,1990,50,1930,47.0,32.0,36000.0,3.0
2,1990,26,2008,50.0,6.0,9880.0,3.0
1,1990,33,2250,50.0,15.0,62000.0,1.0
1,1990,32,2400,50.0,14.0,17500.0,2.0
1,1990,35,2200,50.0,17.0,24000.0,1.0
1,1990,40,2000,50.0,22.0,19000.0,4.0
2,1990,48,630,39.0,10.0,1100.0,1.0
2,1990,46,1880,47.0,19.0,10900.0,3.0
2,1990,29,2074,49.0,11.0,48000.0,1.0
1,1990,35,1630,19.0,13.0,21734.0,3.0
1,1990,63,2040,50.0,45.0,20000.0,3.0
1,1990,37,1970,49.0,19.0,16000.0,2.0
1,1990,39,2205,49.0,21.0,34000.0,3.0
2,1990,38,2178,48.0,13.0,25000.0,3.0
1,1990,26,650,13.0,8.0,8000.0,3.0
2,1990,36,1389,50.0,17.0,14000.0,3.0
1,1990,30,2976,50.0,12.0,41000.0,1.0
2,1990,39,2187,50.0,18.0,21800.0,3.0
1,1990,40,1995,46.0,22.0,43000.0,1.0
1,1990,60,1860,39.0,35.0,15666.0,4.0
1,1990,45,2200,50.0,27.0,44000.0,4.0
2,1990,52,2086,47.0,23.0,34500.0,1.0
2,1990,31,1282,40.0,13.0,17000.0,4.0
1,1990,41,2677,51.0,23.0,57148.0,4.0
1,1990,46,1876,47.0,22.0,32000.0,2.0
1,1990,58,1312,33.0,40.0,24000.0,1.0
2,1990,30,2076,51.0,8.0,30000.0,3.0
1,1990,43,1856,46.0,25.0,9156.0,3.0
2,1990,56,624,52.0,25.0,8112.0,2.0
2,1990,32,1962,45.0,14.0,21000.0,1.0
2,1990,30,1806,52.0,12.0,12000.0,3.0
2,1990,39,2072,50.0,8.0,13000.0,1.0
1,1990,57,2352,49.0,39.0,25500.0,3.0
2,1990,63,1836,48.0,29.0,21000.0,1.0
1,1990,30,2550,51.0,12.0,15000.0,4.0
1,1990,39,2080,52.0,21.0,10000.0,3.0
1,1990,39,2076,51.0,21.0,18000.0,2.0
2,1990,34,2220,48.0,16.0,20000.0,4.0
1,1990,33,2094,52.0,15.0,24000.0,2.0
2,1990,47,2000,50.0,20.0,10000.0,1.0
1,1990,31,1996,48.0,12.0,29900.0,3.0
2,1990,28,1120,50.0,10.0,15000.0,1.0
1,1990,34,3000,50.0,12.0,105000.0,3.0
2,1990,39,2410,48.0,21.0,45000.0,2.0
1,1990,42,1976,49.0,24.0,41000.0,1.0
1,1990,60,2040,51.0,42.0,24000.0,1.0
2,1990,35,2432,51.0,17.0,15000.0,4.0
1,1990,30,2096,49.0,12.0,26500.0,3.0
1,1990,46,2285,48.0,28.0,32600.0,2.0
2,1990,28,2520,50.0,10.0,21000.0,1.0
1,1990,53,2000,50.0,35.0,24000.0,3.0
2,1990,47,1952,48.0,29.0,8218.0,2.0
2,1990,36,1972,49.0,18.0,24040.0,3.0
2,1990,35,2074,51.0,12.0,14000.0,3.0
1,1990,42,2150,50.0,24.0,23616.0,3.0
1,1990,29,2100,50.0,11.0,6036.0,3.0
2,1990,47,2495,50.0,23.0,27100.0,2.0
2,1990,49,1865,45.0,31.0,12000.0,2.0
1,1990,30,1760,44.0,10.0,17600.0,3.0
2,1990,29,1944,49.0,11.0,15000.0,1.0
2,1990,36,1500,50.0,15.0,12300.0,1.0
1,1990,29,2208,49.0,11.0,43000.0,2.0
1,1990,48,1920,48.0,30.0,33000.0,3.0
1,1990,31,2055,51.0,13.0,14200.0,2.0
1,1990,42,1920,48.0,24.0,33000.0,3.0
1,1990,33,2160,50.0,15.0,34000.0,3.0
1,1990,35,1960,49.0,4.0,24500.0,1.0
1,1990,35,1960,48.0,17.0,15400.0,3.0
2,1990,49,2040,51.0,31.0,15000.0,3.0
1,1990,41,2600,52.0,23.0,78000.0,1.0
2,1990,35,1115,40.0,17.0,10000.0,1.0
1,1990,53,1680,48.0,35.0,28300.0,1.0
2,1990,32,1224,51.0,14.0,12000.0,1.0
1,1990,37,2532,43.0,17.0,25000.0,4.0
2,1990,29,2000,50.0,11.0,19000.0,3.0
1,1990,37,1884,48.0,19.0,19010.0,4.0
1,1990,31,1912,48.0,13.0,13200.0,3.0
1,1990,39,1960,49.0,21.0,26335.0,3.0
1,1990,48,1960,49.0,30.0,28000.0,4.0
1,1990,32,1216,30.0,4.0,4864.0,2.0
1,1990,35,2178,48.0,13.0,46200.0,4.0
2,1990,30,1040,26.0,3.0,1940.0,3.0
1,1990,31,2300,50.0,13.0,37000.0,2.0
1,1990,46,1920,48.0,28.0,40000.0,3.0
1,1990,53,1754,43.0,33.0,11000.0,3.0
1,1990,36,2004,50.0,18.0,20500.0,4.0
2,1990,30,1048,37.0,12.0,3000.0,1.0
2,1990,25,1109,46.0,6.0,6000.0,3.0
1,1990,44,4883,44.0,18.0,37000.0,3.0
2,1990,29,936,31.0,11.0,2700.0,3.0
1,1990,34,2208,46.0,16.0,43000.0,4.0
2,1990,32,1703,45.0,14.0,19000.0,3.0
2,1990,46,1368,46.0,9.0,18000.0,2.0
2,1990,35,1880,47.0,13.0,34000.0,2.0
1,1990,26,2138,50.0,8.0,21390.0,1.0
1,1990,56,1964,49.0,38.0,19000.0,3.0
1,1990,40,2390,48.0,22.0,31000.0,3.0
2,1990,28,1640,36.0,9.0,17600.0,3.0
1,1990,42,2450,49.0,24.0,38000.0,3.0
1,1990,54,2760,46.0,34.0,63360.0,3.0
1,1990,36,2080,52.0,14.0,32000.0,3.0
2,1990,57,2000,50.0,30.0,32500.0,4.0
1,1990,33,2256,47.0,15.0,17500.0,3.0
2,1990,45,1600,40.0,20.0,24000.0,3.0
2,1990,43,846,47.0,20.0,12000.0,1.0
1,1990,32,2060,51.0,14.0,10200.0,3.0
2,1990,47,1290,43.0,29.0,5000.0,2.0
1,1990,31,3120,52.0,13.0,23540.0,3.0
1,1990,27,2268,50.0,9.0,13000.0,1.0
1,1990,33,2550,51.0,15.0,30000.0,1.0
2,1990,38,1960,49.0,20.0,13101.0,3.0
1,1990,27,2450,49.0,8.0,15000.0,3.0
1,1990,45,1880,47.0,27.0,40300.0,2.0
2,1990,58,967,40.0,28.0,16753.0,1.0
2,1990,32,1875,50.0,14.0,8900.0,3.0
1,1990,26,2206,49.0,8.0,33000.0,1.0
2,1990,28,299,13.0,9.0,1100.0,1.0
2,1990,36,1518,51.0,12.0,5300.0,3.0
2,1990,38,2032,50.0,19.0,20000.0,2.0
1,1990,49,2000,50.0,29.0,17000.0,3.0
2,1990,30,1960,49.0,4.0,12000.0,2.0
2,1990,38,2259,50.0,15.0,17300.0,2.0
2,1990,26,2460,49.0,8.0,34000.0,3.0
2,1990,38,1832,46.0,20.0,17000.0,3.0
1,1990,37,2250,50.0,19.0,45000.0,3.0
1,1990,26,2016,50.0,8.0,9600.0,3.0
2,1990,30,2004,49.0,12.0,17000.0,3.0
2,1990,49,1830,45.0,17.0,56000.0,1.0
1,1990,38,2250,50.0,15.0,29211.0,4.0
1,1990,51,2100,52.0,33.0,39403.0,2.0
1,1990,33,2570,51.0,15.0,31800.0,3.0
2,1990,57,2030,50.0,15.0,13000.0,2.0
2,1990,36,1683,48.0,18.0,25000.0,1.0
1,1990,33,1960,48.0,13.0,28279.0,1.0
2,1990,35,1992,50.0,16.0,9850.0,2.0
1,1990,48,1960,49.0,30.0,21000.0,3.0
2,1990,40,303,12.0,20.0,5117.0,4.0
2,1990,55,1950,51.0,34.0,8449.0,1.0
1,1990,25,1968,49.0,7.0,8000.0,2.0
2,1990,48,1985,49.0,30.0,17000.0,3.0
1,1990,26,3784,52.0,8.0,12000.0,3.0
2,1990,38,1626,51.0,20.0,11174.0,4.0
1,1990,37,1720,34.0,19.0,25000.0,4.0
2,1990,45,1100,50.0,23.0,5500.0,2.0
1,1990,56,1984,49.0,38.0,20050.0,3.0
1,1990,48,752,19.0,12.0,2300.0,3.0
1,1990,31,2016,50.0,13.0,16500.0,3.0
2,1990,46,2058,49.0,23.0,27577.0,2.0
1,1990,32,2888,50.0,14.0,42569.0,3.0
2,1990,28,2000,50.0,10.0,36300.0,4.0
2,1990,32,2205,49.0,14.0,21000.0,2.0
2,1990,31,872,22.0,10.0,3000.0,3.0
2,1990,35,1469,37.0,15.0,42000.0,1.0
2,1990,37,1722,49.0,19.0,9000.0,3.0
2,1990,25,1184,30.0,3.0,4000.0,3.0
2,1990,31,602,17.0,13.0,4000.0,2.0
2,1990,42,2455,47.0,24.0,32000.0,3.0
2,1990,55,1856,46.0,30.0,15000.0,1.0
2,1990,51,880,22.0,25.0,3000.0,3.0
1,1990,45,2121,51.0,27.0,43000.0,2.0
1,1990,37,3250,50.0,19.0,47000.0,2.0
1,1990,39,2400,48.0,21.0,41139.0,2.0
1,1990,34,1820,52.0,16.0,21840.0,1.0
2,1990,47,1770,47.0,13.0,14000.0,4.0
1,1990,36,2496,52.0,18.0,25000.0,3.0
2,1990,35,1760,44.0,13.0,10000.0,3.0
1,1990,53,2793,49.0,35.0,32000.0,3.0
1,1990,37,1982,47.0,19.0,35000.0,3.0
2,1990,32,2416,50.0,10.0,38000.0,3.0
1,1990,48,1912,48.0,30.0,42000.0,1.0
1,1990,43,4196,51.0,25.0,67542.0,3.0
2,1990,47,1968,48.0,29.0,49446.0,3.0
1,1990,47,3060,51.0,29.0,16000.0,1.0
1,1990,36,1896,47.0,18.0,7900.0,4.0
2,1990,36,2200,50.0,9.0,21000.0,2.0
2,1990,30,1866,42.0,12.0,18000.0,1.0
1,1990,35,1960,49.0,17.0,22000.0,3.0
1,1990,27,2600,48.0,9.0,22000.0,2.0
1,1990,30,1848,44.0,10.0,35000.0,4.0
1,1990,53,2318,49.0,30.0,73500.0,1.0
2,1990,43,1795,51.0,18.0,4000.0,4.0
1,1990,33,2593,49.0,13.0,19900.0,3.0
1,1990,50,2350,47.0,32.0,6850.0,1.0
1,1990,35,2600,52.0,17.0,4000.0,2.0
2,1990,30,3825,51.0,9.0,80000.0,3.0
2,1990,43,1477,42.0,23.0,7000.0,1.0
1,1990,48,1876,47.0,30.0,28700.0,3.0
2,1990,25,2325,38.0,7.0,22600.0,3.0
1,1990,46,3344,51.0,28.0,32000.0,4.0
1,1990,43,2500,50.0,25.0,48000.0,2.0
2,1990,32,1840,46.0,14.0,18000.0,1.0
1,1990,62,780,39.0,44.0,12000.0,3.0
2,1990,34,1560,26.0,16.0,40000.0,3.0
2,1990,41,1587,50.0,20.0,13600.0,3.0
1,1990,41,2319,52.0,20.0,30000.0,3.0
1,1990,28,1960,49.0,10.0,20200.0,2.0
1,1990,26,4144,46.0,8.0,12200.0,2.0
1,1990,33,2024,51.0,15.0,28900.0,1.0
1,1990,34,3484,51.0,16.0,27000.0,3.0
2,1990,39,893,37.0,17.0,6000.0,3.0
1,1990,55,1920,48.0,37.0,46867.0,2.0
1,1990,25,2144,51.0,7.0,12000.0,1.0
2,1990,41,1964,48.0,22.0,28000.0,3.0
2,1990,33,1440,36.0,7.0,7400.0,2.0
1,1990,29,1920,48.0,11.0,26000.0,1.0
1,1990,37,2816,50.0,19.0,25030.0,2.0
2,1990,51,2280,44.0,33.0,57000.0,1.0
1,1990,35,1960,49.0,17.0,17500.0,3.0
1,1990,38,2390,48.0,20.0,24700.0,4.0
1,1990,38,2880,50.0,20.0,43000.0,4.0
1,1990,40,1938,48.0,22.0,23000.0,3.0
2,1990,30,740,18.0,10.0,2000.0,3.0
1,1990,32,2064,50.0,14.0,20000.0,3.0
2,1990,50,1928,48.0,4.0,10000.0,3.0
1,1990,32,2860,52.0,13.0,52000.0,1.0
1,1990,26,2430,50.0,8.0,19000.0,3.0
2,1990,36,1100,50.0,3.0,6105.0,3.0
2,1990,54,2032,51.0,33.0,13000.0,3.0
2,1990,33,3187,51.0,15.0,26500.0,3.0
1,1990,53,2695,49.0,35.0,27300.0,3.0
1,1990,39,669,16.0,21.0,52147.0,3.0
1,1990,32,1629,45.0,14.0,6800.0,3.0
2,1990,41,1976,49.0,20.0,21000.0,4.0
1,1990,25,1922,45.0,7.0,13050.0,3.0
1,1990,28,1701,49.0,10.0,20000.0,2.0
1,1990,33,2060,50.0,15.0,37000.0,4.0
1,1990,63,995,44.0,45.0,6900.0,4.0
1,1990,60,3037,48.0,42.0,23000.0,2.0
2,1990,30,1100,44.0,9.0,3894.0,2.0
2,1990,27,940,47.0,9.0,14000.0,2.0
2,1990,30,1220,24.0,1.0,3800.0,2.0
2,1990,25,2187,49.0,7.0,37501.0,3.0
1,1990,36,2465,49.0,18.0,52500.0,1.0
2,1990,40,1875,50.0,22.0,32000.0,1.0
1,1990,25,2205,49.0,7.0,37000.0,3.0
1,1990,45,2695,49.0,25.0,24000.0,3.0
1,1990,49,2115,47.0,31.0,53000.0,2.0
1,1990,33,1953,47.0,15.0,52000.0,3.0
2,1990,26,1722,49.0,8.0,35000.0,1.0
1,1990,40,2148,51.0,22.0,28574.0,2.0
1,1990,38,2040,51.0,20.0,37500.0,3.0
1,1990,35,1992,50.0,17.0,19000.0,3.0
2,1990,37,2160,48.0,19.0,31000.0,4.0
2,1990,44,2100,50.0,1.0,7000.0,3.0
1,1990,25,2352,49.0,7.0,35000.0,3.0
2,1990,41,1552,39.0,20.0,25000.0,3.0
2,1990,31,1821,47.0,9.0,20122.0,1.0
1,1990,38,2887,50.0,20.0,21400.0,3.0
2,1990,39,2065,51.0,21.0,18300.0,2.0
1,1990,43,2124,49.0,25.0,23000.0,1.0
1,1990,31,2601,50.0,13.0,31000.0,3.0
1,1990,32,2118,49.0,14.0,33000.0,2.0
1,1990,45,1944,49.0,23.0,28400.0,4.0
1,1990,37,2530,46.0,19.0,40000.0,3.0
2,1990,34,2820,47.0,15.0,30850.0,2.0
1,1990,26,2550,51.0,8.0,25000.0,3.0
1,1990,29,2018,50.0,11.0,23000.0,1.0
1,1990,57,1997,47.0,36.0,44000.0,3.0
1,1990,42,1616,39.0,20.0,38000.0,1.0
2,1990,43,2000,50.0,25.0,51600.0,4.0
1,1990,35,2340,52.0,17.0,19000.0,3.0
1,1990,32,2056,49.0,14.0,30000.0,1.0
2,1990,60,1580,39.0,38.0,14810.0,2.0
2,1990,30,1653,41.0,11.0,22700.0,2.0
1,1990,38,2036,48.0,20.0,33100.0,4.0
2,1990,25,2020,48.0,7.0,19300.0,3.0
1,1990,36,2370,51.0,18.0,43200.0,1.0
1,1990,37,2214,49.0,19.0,19000.0,3.0
1,1990,36,1955,39.0,15.0,10000.0,1.0
1,1990,38,1950,48.0,20.0,19119.0,3.0
2,1990,31,1581,49.0,10.0,4800.0,4.0
2,1990,28,2000,50.0,9.0,9000.0,3.0
2,1990,31,1054,34.0,10.0,8000.0,1.0
2,1990,27,728,36.0,8.0,9600.0,4.0
1,1990,32,2060,41.0,3.0,29000.0,4.0
1,1990,46,2205,49.0,28.0,42000.0,4.0
1,1990,31,1976,49.0,11.0,23000.0,2.0
2,1990,42,2634,50.0,24.0,30000.0,4.0
2,1990,36,2000,50.0,17.0,52000.0,1.0
2,1990,47,1248,52.0,3.0,3800.0,3.0
1,1990,30,1990,50.0,11.0,23000.0,2.0
2,1990,29,2600,52.0,11.0,49000.0,1.0
2,1990,44,1175,47.0,20.0,4500.0,2.0
1,1990,34,2080,49.0,15.0,13300.0,1.0
2,1990,52,1426,46.0,19.0,7100.0,3.0
1,1990,27,1845,41.0,6.0,10000.0,3.0
2,1990,40,404,17.0,1.0,2400.0,3.0
2,1990,52,2016,48.0,32.0,31500.0,4.0
1,1990,38,1732,39.0,20.0,31927.0,4.0
2,1990,38,1560,52.0,7.0,9040.0,3.0
1,1990,33,2160,48.0,15.0,42000.0,3.0
2,1990,63,1166,49.0,40.0,8170.0,3.0
2,1990,29,1848,44.0,10.0,35000.0,4.0
1,1990,39,2820,47.0,21.0,50000.0,4.0
2,1990,43,1254,42.0,18.0,7500.0,3.0
2,1990,47,1830,49.0,29.0,12300.0,3.0
2,1990,38,1488,42.0,5.0,9000.0,1.0
1,1990,29,1562,49.0,11.0,15000.0,3.0
1,1990,34,2303,49.0,16.0,35400.0,2.0
1,1990,28,327,15.0,4.0,500.0,2.0
1,1990,43,2080,52.0,25.0,26000.0,3.0
2,1990,40,1960,49.0,22.0,20000.0,2.0
2,1990,35,2200,49.0,17.0,38000.0,2.0
2,1990,49,865,41.0,26.0,19144.0,2.0
2,1990,36,2000,50.0,15.0,19300.0,3.0
1,1990,38,2100,45.0,20.0,56500.0,3.0
1,1990,62,2449,49.0,44.0,24504.0,4.0
1,1990,36,2160,48.0,18.0,67000.0,1.0
1,1990,56,2237,50.0,31.0,52000.0,4.0
1,1990,60,2675,50.0,33.0,33700.0,3.0
1,1990,33,2450,49.0,15.0,45000.0,4.0
1,1990,45,1880,47.0,27.0,150000.0,1.0
2,1990,37,1200,50.0,11.0,4000.0,3.0
2,1990,43,1418,35.0,23.0,23000.0,3.0
1,1990,49,1940,47.0,31.0,36030.0,2.0
2,1990,36,2264,49.0,18.0,22000.0,3.0
2,1990,44,2000,50.0,25.0,43000.0,3.0
2,1990,30,1576,39.0,12.0,6000.0,1.0
2,1990,58,1366,49.0,15.0,8000.0,1.0
2,1990,35,1440,36.0,17.0,18000.0,2.0
2,1990,34,1984,50.0,15.0,12000.0,3.0
1,1990,28,2040,50.0,9.0,28450.0,1.0
1,1990,39,1960,49.0,16.0,36000.0,2.0
2,1990,25,637,18.0,6.0,1600.0,3.0
2,1990,59,940,47.0,2.0,3300.0,2.0
2,1990,32,780,19.0,8.0,3000.0,3.0
1,1990,40,2580,52.0,22.0,23000.0,3.0
2,1990,44,2040,51.0,26.0,19000.0,3.0
1,1990,27,1595,41.0,9.0,24500.0,1.0
2,1990,41,1840,46.0,23.0,23000.0,3.0
2,1990,58,345,35.0,15.0,1500.0,2.0
2,1990,45,2205,49.0,27.0,29000.0,2.0
2,1990,39,1960,49.0,17.0,23000.0,2.0
2,1990,43,2295,51.0,18.0,8350.0,2.0
1,1990,36,1996,50.0,18.0,12479.0,3.0
1,1990,52,2940,49.0,34.0,110000.0,3.0
1,1999,36,2800,50.0,17.0,32500.0,2.0
1,1999,42,2000,50.0,19.0,88000.0,2.0
1,1999,63,392,49.0,40.0,9600.0,4.0
1,1999,34,2140,51.0,14.0,22000.0,3.0
1,1999,39,3104,50.4000015258789,20.0,28180.0,3.0
1,1999,32,2620,51.7999992370605,13.0,48300.0,1.0
2,1999,31,2178,48.4000015258789,12.0,45000.0,3.0
1,1999,25,2072,51.7999992370605,7.0,29000.0,3.0
1,1999,38,2000,50.0,19.0,23300.0,3.0
1,1999,27,2288,52.0,8.0,35000.0,2.0
1,1999,45,2016,42.0,26.0,70000.0,1.0
2,1999,31,1040,26.0,12.0,26500.0,2.0
2,1999,39,2130,52.0,11.0,20000.0,2.0
1,1999,42,2080,52.0,1.0,35000.0,2.0
2,1999,43,1920,48.0,23.0,28000.0,2.0
2,1999,61,2064,51.5999984741211,42.0,17433.0,3.0
1,1999,47,2738,52.0,28.0,21500.0,3.0
2,1999,36,1560,52.0,16.0,40730.0,1.0
2,1999,27,2214,49.2000007629395,8.0,47000.0,2.0
1,1999,35,2040,51.0,17.0,26000.0,1.0
2,1999,30,2058,50.2000007629395,11.0,13000.0,2.0
1,1999,34,3060,51.0,15.0,46000.0,3.0
1,1999,42,2606,49.0,24.0,50750.0,3.0
2,1999,50,1144,25.3999996185303,31.0,2400.0,1.0
2,1999,40,2083,52.0,21.0,11480.0,3.0
2,1999,47,1600,50.0,27.0,29000.0,3.0
1,1999,29,2516,50.4000015258789,10.0,19000.0,3.0
2,1999,59,2167,43.2999992370605,36.0,51000.0,2.0
2,1999,45,1631,46.5999984741211,9.0,8640.0,3.0
2,1999,42,2470,49.0,23.0,19500.0,1.0
2,1999,37,624,52.0,18.0,6000.0,1.0
2,1999,46,1040,52.0,27.0,12000.0,2.0
1,1999,31,2048,51.2000007629395,12.0,40000.0,1.0
2,1999,51,1920,48.0,33.0,23500.0,3.0
1,1999,29,2264,51.5999984741211,10.0,39000.0,3.0
1,1999,51,2585,47.0,32.0,127000.0,1.0
1,1999,29,3000,50.0,10.0,40000.0,1.0
1,1999,51,2080,51.0,32.0,60000.0,1.0
2,1999,43,520,26.0,7.0,2060.0,1.0
1,1999,38,2048,51.2000007629395,20.0,29000.0,3.0
1,1999,28,3885,51.7999992370605,9.0,26000.0,3.0
1,1999,51,2000,50.0,32.0,51000.0,1.0
2,1999,25,1964,46.5999984741211,6.0,19000.0,3.0
2,1999,41,2295,51.0,23.0,29000.0,3.0
1,1999,33,3000,50.0,13.0,29000.0,3.0
1,1999,25,2295,51.0,6.0,29500.0,4.0
2,1999,28,1960,49.0,9.0,16300.0,3.0
1,1999,32,2580,52.0,13.0,23000.0,3.0
2,1999,47,1912,47.0,27.0,29000.0,4.0
1,1999,29,1897,51.0,11.0,22000.0,2.0
2,1999,32,1840,46.0,12.0,28000.0,3.0
2,1999,39,2150,50.0,20.0,21000.0,3.0
2,1999,28,2029,50.5999984741211,8.0,15700.0,3.0
2,1999,25,1976,49.4000015258789,7.0,23000.0,2.0
1,1999,29,2250,50.0,10.0,28500.0,3.0
2,1999,32,2080,52.0,13.0,28000.0,1.0
2,1999,42,1122,48.7999992370605,19.0,15029.0,2.0
2,1999,41,2328,48.0,20.0,27460.0,3.0
2,1999,53,740,37.0,22.0,20000.0,2.0
1,1999,52,2015,50.0,33.0,13497.0,3.0
1,1999,33,2200,51.0,14.0,62000.0,4.0
2,1999,31,1784,43.5999984741211,11.0,24000.0,2.0
2,1999,28,2350,47.0,9.0,26000.0,3.0
1,1999,38,2000,50.0,19.0,48000.0,2.0
1,1999,46,2072,51.7999992370605,25.0,16000.0,3.0
2,1999,51,1928,48.2000007629395,23.0,31000.0,3.0
1,1999,44,2313,51.4000015258789,25.0,28000.0,3.0
2,1999,30,2295,51.0,5.0,12000.0,3.0
2,1999,32,1784,37.0,13.0,28000.0,1.0
2,1999,45,2000,50.0,27.0,40000.0,4.0
2,1999,55,1965,49.0,34.0,24552.0,3.0
2,1999,43,360,40.0,23.0,3800.0,1.0
1,1999,35,2580,51.5999984741211,16.0,105000.0,1.0
1,1999,32,1550,51.0,13.0,25100.0,4.0
2,1999,35,1843,49.7999992370605,15.0,26000.0,2.0
1,1999,50,2162,51.0,31.0,98510.0,4.0
1,1999,51,2600,52.0,31.0,43000.0,2.0
1,1999,31,2084,51.5999984741211,11.0,30000.0,3.0
2,1999,48,2500,49.0,29.0,50000.0,3.0
1,1999,39,1698,36.4000015258789,20.0,36000.0,3.0
1,1999,29,1035,41.4000015258789,10.0,1800.0,2.0
2,1999,30,2520,50.4000015258789,9.0,19700.0,3.0
1,1999,37,3098,47.7000007629395,18.0,32000.0,2.0
1,1999,41,3020,50.0,22.0,36500.0,3.0
2,1999,37,347,17.2999992370605,18.0,1898.0,3.0
1,1999,45,1970,49.0,25.0,25620.0,1.0
1,1999,58,2048,51.2000007629395,37.0,23000.0,3.0
2,1999,29,1637,40.9000015258789,8.0,20000.0,2.0
2,1999,25,2000,50.0,7.0,18000.0,2.0
2,1999,48,1295,35.0,29.0,20000.0,4.0
2,1999,43,2450,49.0,23.0,33000.0,4.0
2,1999,28,1027,29.2999992370605,7.0,29000.0,4.0
2,1999,40,1300,52.0,21.0,5400.0,3.0
1,1999,42,1040,25.6000003814697,23.0,17000.0,1.0
1,1999,44,2460,50.0,26.0,40000.0,3.0
2,1999,45,1618,51.7999992370605,27.0,12000.0,2.0
2,1999,55,2432,48.0,36.0,29000.0,3.0
2,1999,46,2000,50.0,8.0,15000.0,2.0
