15,HI,2001,79.086563,38796,0,0;15,HI,2002,84.47123,41487,0,0;15,HI,2003,83.805222,43758,0,0;15,HI,2004,84.002701,43913,0,0;15,HI,2005,83.487335,44019,0,0;15,HI,2006,85.300728,45045,0,0;15,HI,2007,87.124779,44164,0,0;15,HI,2008,86.541328,44484,0,0;15,HI,2009,84.497223,44371,0,0;15,HI,2010,85.43927,44155,0,0;15,HI,2011,87.977966,43570,0,0;15,HI,2012,85.460953,44401,0,0;15,HI,2013,86.867928,44524,0,0;15,HI,2014,84.559464,43049,0,0
16,ID,2001,84.32312,44373,0,0;16,ID,2002,83.13665,45995,0,0;16,ID,2003,82.052803,47549,0,0;16,ID,2004,82.68811,48733,0,0;16,ID,2005,85.207901,50285,0,0;16,ID,2006,85.344467,50502,0,0;16,ID,2007,81.857445,51043,0,0;16,ID,2008,83.793129,51366,0,0;16,ID,2009,81.798775,52804,0,0;16,ID,2010,83.06945,53559,0,0;16,ID,2011,85.520592,54062,0,0;16,ID,2012,86.667923,53423,0,0;16,ID,2013,83.239922,54206,0,0;16,ID,2014,84.096855,52779,0,0
17,IL,2001,80.189034,352320,0,0;17,IL,2002,81.861084,366353,0,0;17,IL,2003,81.657494,375076,0,0;17,IL,2004,81.971344,381689,0,0;17,IL,2005,81.567581,385536,0,0;17,IL,2006,82.800026,391271,0,0;17,IL,2007,82.188385,396230,0,0;17,IL,2008,81.796646,400737,0,0;17,IL,2009,81.13308,403544,0,0;17,IL,2010,82.721367,405198,0,0;17,IL,2011,82.171631,405190,0,0;17,IL,2012,81.871719,404149,0,0;17,IL,2013,82.661507,406906,0,0;17,IL,2014,82.46804,397334,0,0
18,IN,2001,80.030098,185252,0,0;18,IN,2002,80.224236,193937,0,0;18,IN,2003,78.904945,199111,0,0;18,IN,2004,81.070526,201873,0,0;18,IN,2005,81.365738,204777,0,0;18,IN,2006,80.737442,206882,0,0;18,IN,2007,81.444122,212007,0,0;18,IN,2008,81.596741,217184,0,0;18,IN,2009,79.202202,221764,0,0;18,IN,2010,80.391624,223558,0,0;18,IN,2011,81.709061,225100,0,0;18,IN,2012,81.254898,223160,0,0;18,IN,2013,82.08857,222790,0,0;18,IN,2014,81.361946,215300,0,0
19,IA,2001,84.052216,83409,0,0;19,IA,2002,83.466919,86708,0,0;19,IA,2003,83.086021,89015,0,0;19,IA,2004,83.095955,89885,0,0;19,IA,2005,82.90538,90041,0,0;19,IA,2006,83.298431,89397,0,0;19,IA,2007,82.953819,90370,0,0;19,IA,2008,82.005203,91599,0,0;19,IA,2009,82.219482,91407,0,0;19,IA,2010,82.795746,89428,0,0;19,IA,2011,83.476395,87850,0,0;19,IA,2012,80.638573,85100,0,0;19,IA,2013,80.936371,85865,0,0;19,IA,2014,81.355644,82682,0,0
20,KS,2001,82.62468,75611,0,0;20,KS,2002,80.157631,79311,0,0;20,KS,2003,82.804131,81060,0,0;20,KS,2004,82.619171,83216,0,0;20,KS,2005,82.532585,85127,0,0;20,KS,2006,82.005524,85688,0,0;20,KS,2007,83.462494,85792,0,0;20,KS,2008,80.941696,85916,0,0;20,KS,2009,81.934563,86454,0,0;20,KS,2010,79.534805,86068,0,0;20,KS,2011,81.255272,85086,0,0;20,KS,2012,82.235428,83972,0,0;20,KS,2013,80.998405,83846,0,0;20,KS,2014,82.519783,83584,0,0
21,KY,2001,82.75029,158132,0,0;21,KY,2002,81.672089,164355,0,0;21,KY,2003,80.438179,165818,0,0;21,KY,2004,81.474327,166958,0,0;21,KY,2005,81.185349,168869,0,0;21,KY,2006,82.084618,170145,0,0;21,KY,2007,83.042732,172246,0,0;21,KY,2008,81.945984,174370,0,0;21,KY,2009,80.940788,183404,0,0;21,KY,2010,81.587166,174935,0,0;21,KY,2011,81.977036,170430,0,0;21,KY,2012,81.726822,168122,0,0;21,KY,2013,81.903847,167245,0,0;21,KY,2014,81.941711,161284,0,0
22,LA,2001,80.158157,202510,0,0;22,LA,2002,82.338318,211918,0,0;22,LA,2003,82.131447,215206,0,0;22,LA,2004,82.125114,217763,0,0;22,LA,2005,81.594933,218567,0,0;22,LA,2006,81.891869,215492,0,0;22,LA,2007,82.361313,212748,0,0;22,LA,2008,82.431686,213189,0,0;22,LA,2009,80.762039,210580,0,0;22,LA,2010,82.23764,204583,0,0;22,LA,2011,83.873398,200426,0,0;22,LA,2012,81.120552,199200,0,0;22,LA,2013,81.475052,203144,0,0;22,LA,2014,82.363602,195226,0,0
23,ME,2001,79.951706,51214,0,0;23,ME,2002,80.180412,53205,0,0;23,ME,2003,81.293968,54057,0,0;23,ME,2004,81.547356,54604,0,0;23,ME,2005,84.238403,54881,0,0;23,ME,2006,81.201035,55242,0,0;23,ME,2007,81.793457,55818,0,0;23,ME,2008,82.623741,55976,0,0;23,ME,2009,83.733101,56747,0,0;23,ME,2010,82.824226,55490,0,0;23,ME,2011,84.642052,53730,0,0;23,ME,2012,83.538902,52574,0,0;23,ME,2013,86.267685,52201,0,0;23,ME,2014,84.597153,50762,0,0
24,MD,2001,81.245468,152666,0,0;24,MD,2002,82.185326,158583,0,0;24,MD,2003,80.562111,159709,0,0;24,MD,2004,80.628891,160182,0,0;24,MD,2005,81.756584,161789,0,0;24,MD,2006,80.690598,162931,0,0;24,MD,2007,82.055191,164641,0,0;24,MD,2008,81.177162,165073,0,0;24,MD,2009,80.610413,164953,0,0;24,MD,2010,80.164688,165708,0,0;24,MD,2011,82.450989,161331,0,0;24,MD,2012,80.258461,162851,0,0;24,MD,2013,82.971619,163756,0,0;24,MD,2014,83.196037,161691,0,0
