2,32,462,39.0,14.0,6000.0,1.0;1,43,1791,48.0,25.0,6600.0,2.0;1,27,1725,50.0,9.0,12000.0,4.0;2,61,1610,46.0,19.0,9000.0,4.0;2,33,1638,36.0,12.0,17000.0,2.0;1,33,2506,50.0,14.0,23000.0,3.0
2,61,912,41.0,6.0,3316.0,4.0;1,26,2060,49.0,7.0,18617.0,3.0;2,39,2400,50.0,16.0,17000.0,4.0;1,27,2286,51.0,8.0,27000.0,3.0;1,33,4156,0.0,15.0,27900.0,4.0;1,29,2136,47.0,11.0,13700.0,4.0
1,34,2074,50.0,12.0,24000.0,2.0;1,25,1979,49.0,7.0,6000.0,4.0;2,30,540,36.0,6.0,1700.0,1.0;2,32,828,21.0,14.0,6850.0,3.0;1,38,3900,52.0,20.0,94000.0,2.0;1,29,2000,50.0,11.0,9700.0,3.0
1,60,2146,52.0,42.0,4800.0,3.0;1,31,1800,45.0,12.0,13000.0,3.0;1,55,1631,44.0,34.0,23000.0,1.0;2,37,2080,52.0,16.0,4000.0,3.0;2,46,1600,50.0,15.0,6500.0,3.0;2,30,2196,50.0,12.0,15600.0,3.0
2,41,1920,48.0,21.0,18000.0,2.0;2,32,1125,17.0,14.0,4400.0,4.0;2,53,2030,50.0,15.0,5892.0,2.0;1,29,3580,51.0,11.0,16200.0,1.0;2,49,2093,49.0,20.0,13000.0,3.0;2,43,1960,49.0,21.0,14000.0,3.0
1,28,2570,48.0,10.0,21000.0,2.0;1,29,3004,52.0,11.0,26000.0,3.0;1,32,2886,51.0,14.0,22700.0,2.0;1,50,1600,40.0,30.0,18000.0,1.0;2,57,1600,40.0,20.0,10400.0,2.0;1,41,1302,43.0,23.0,11000.0,3.0
2,47,1920,48.0,20.0,14000.0,2.0;1,28,2040,51.0,8.0,8500.0,3.0;2,29,1968,45.0,11.0,22000.0,3.0;1,27,2632,41.0,9.0,19160.0,1.0;2,25,1900,38.0,6.0,12000.0,4.0;1,34,1560,39.0,16.0,5000.0,3.0
1,40,2233,47.0,21.0,23000.0,2.0;1,57,2024,46.0,36.0,25498.0,2.0;1,25,2573,49.0,6.0,16500.0,2.0;1,32,2272,46.0,12.0,20400.0,3.0;1,33,2114,49.0,5.0,16500.0,3.0;2,49,2250,51.0,7.0,10694.0,4.0
2,35,2090,49.0,15.0,15000.0,3.0;2,27,2224,52.0,8.0,5600.0,3.0;2,56,1400,40.0,9.0,3000.0,2.0;1,58,2072,47.0,33.0,19650.0,4.0;1,33,2180,47.0,15.0,13440.0,4.0;2,38,1875,50.0,20.0,11000.0,3.0
1,48,1040,26.0,27.0,6255.0,3.0;1,32,520,13.0,14.0,9095.0,2.0;2,25,1708,49.0,7.0,9000.0,1.0;2,46,1166,49.0,24.0,11000.0,4.0;1,30,2000,50.0,10.0,10000.0,3.0;2,52,2000,50.0,8.0,15120.0,2.0
2,48,2080,52.0,12.0,7000.0,3.0;1,58,2000,50.0,37.0,7920.0,3.0;2,30,1170,26.0,12.0,14000.0,4.0;1,33,1880,45.0,15.0,25000.0,2.0;2,26,224,17.0,7.0,200.0,3.0;2,26,2050,44.0,5.0,11000.0,3.0
1,41,2439,49.0,17.0,18500.0,1.0;2,50,1230,48.0,19.0,7000.0,3.0;1,38,1930,46.0,20.0,18000.0,2.0;1,25,2124,51.0,7.0,19500.0,1.0;2,25,1785,51.0,7.0,5600.0,3.0;1,40,2112,50.0,22.0,23000.0,3.0
2,25,1280,32.0,7.0,13000.0,3.0;1,38,1798,45.0,20.0,17777.0,3.0;2,25,328,29.0,1.0,3593.0,1.0;1,47,1928,48.0,23.0,17500.0,3.0;1,25,4335,51.0,7.0,11300.0,4.0;1,25,2392,52.0,7.0,7560.0,3.0
2,50,1000,50.0,13.0,6600.0,1.0;1,60,1920,47.0,42.0,18000.0,1.0;2,31,1800,45.0,12.0,6000.0,4.0;2,51,2000,50.0,33.0,11000.0,3.0;1,28,3491,48.0,10.0,33500.0,4.0;2,47,1228,31.0,16.0,7000.0,2.0
2,49,800,20.0,2.0,2591.0,3.0;2,26,1920,48.0,6.0,11000.0,4.0;1,51,2156,49.0,33.0,28000.0,2.0;2,31,1447,47.0,11.0,5400.0,1.0;2,25,400,50.0,7.0,3000.0,2.0;1,40,2233,47.0,22.0,33000.0,2.0
1,50,1838,49.0,32.0,17160.0,1.0;2,31,1443,37.0,13.0,20000.0,2.0;1,27,1314,30.0,9.0,5500.0,3.0;1,27,2000,50.0,8.0,16500.0,3.0;2,45,2875,51.0,27.0,8421.0,3.0;1,32,2235,46.0,14.0,22000.0,2.0
1,28,2148,48.0,10.0,18000.0,3.0;2,25,2008,50.0,7.0,6000.0,3.0;1,46,1476,49.0,24.0,18000.0,3.0;2,46,1200,30.0,28.0,11000.0,3.0;2,26,764,52.0,6.0,3800.0,2.0;1,59,1560,52.0,40.0,39000.0,3.0
1,35,1608,40.0,17.0,3720.0,3.0;1,50,1568,39.0,32.0,14000.0,3.0;2,54,912,48.0,17.0,3000.0,2.0;2,25,2552,36.0,7.0,10553.0,3.0;1,25,4399,49.0,7.0,12000.0,2.0;1,33,1824,46.0,13.0,36000.0,2.0
1,39,1940,45.0,18.0,15000.0,2.0;1,31,1129,35.0,12.0,3500.0,3.0;1,34,1896,47.0,13.0,22000.0,3.0;2,30,1200,32.0,12.0,6480.0,1.0;2,49,1260,50.0,18.0,5000.0,1.0;1,33,3038,52.0,15.0,47000.0,3.0
1,34,1630,40.0,16.0,23000.0,1.0;1,45,1840,46.0,26.0,10000.0,3.0;2,29,2080,52.0,9.0,11000.0,3.0;2,46,1912,48.0,28.0,9364.0,2.0;1,36,2750,50.0,18.0,12000.0,3.0;1,37,2734,48.0,19.0,45050.0,4.0
1,30,2000,50.0,12.0,10200.0,3.0;1,27,2149,50.0,9.0,25000.0,4.0;1,25,2384,50.0,7.0,10000.0,2.0;2,36,2048,50.0,5.0,10000.0,1.0;1,32,2560,48.0,14.0,20600.0,2.0;2,47,2120,42.0,9.0,5008.0,3.0
2,32,2124,51.0,9.0,12000.0,4.0;1,40,2250,45.0,22.0,20150.0,4.0;2,30,1940,49.0,10.0,14000.0,3.0;1,26,2064,51.0,6.0,8600.0,3.0;1,51,2800,46.0,33.0,30000.0,2.0;2,51,383,31.0,10.0,2000.0,1.0
2,27,2166,48.0,6.0,9073.0,3.0;2,25,1480,46.0,7.0,20000.0,1.0;2,37,1260,36.0,4.0,5500.0,3.0;1,39,1938,48.0,21.0,26400.0,4.0;1,33,1297,29.0,15.0,13100.0,1.0;1,46,1840,46.0,28.0,22390.0,2.0
1,49,2000,50.0,31.0,11750.0,4.0;2,25,1156,33.0,6.0,3600.0,1.0;1,25,2470,49.0,7.0,10000.0,3.0;1,30,2030,35.0,9.0,25000.0,3.0;1,35,1575,35.0,13.0,3000.0,3.0;1,44,1640,52.0,25.0,2500.0,3.0
2,33,1190,50.0,8.0,3050.0,2.0;2,48,1982,47.0,30.0,17982.0,3.0;2,41,2144,34.0,4.0,5158.0,2.0;1,40,1242,48.0,5.0,2000.0,1.0;2,30,1740,48.0,6.0,9200.0,3.0;1,25,3570,51.0,7.0,50000.0,1.0
1,25,2250,45.0,7.0,21000.0,3.0;1,42,2388,48.0,24.0,24000.0,3.0;2,56,1617,49.0,16.0,5000.0,3.0;1,31,1956,48.0,11.0,17500.0,2.0;1,27,2000,50.0,9.0,15000.0,3.0;1,49,2295,51.0,31.0,37500.0,2.0
1,39,2496,52.0,20.0,5590.0,2.0;2,32,700,35.0,14.0,2000.0,2.0;1,43,2802,44.0,25.0,15099.0,3.0;2,57,1645,47.0,21.0,13000.0,1.0;1,26,1892,47.0,8.0,9400.0,1.0;2,44,1584,50.0,26.0,7275.0,4.0
1,26,2237,50.0,8.0,28000.0,4.0;2,53,2080,52.0,25.0,16000.0,2.0;2,56,1837,49.0,35.0,12740.0,1.0;2,37,268,30.0,12.0,4000.0,1.0;2,27,1426,40.0,9.0,11500.0,3.0;2,38,2080,52.0,2.0,4988.0,2.0
2,25,2040,51.0,6.0,12000.0,4.0;1,40,1308,33.0,22.0,17000.0,4.0;2,54,1880,47.0,19.0,15000.0,1.0;1,53,2040,51.0,35.0,10450.0,2.0;1,25,2026,49.0,4.0,15000.0,2.0;1,36,1590,39.0,18.0,18000.0,2.0
1,27,2228,26.0,9.0,28000.0,3.0;2,28,1536,38.0,8.0,6080.0,3.0;1,34,2623,48.0,15.0,34000.0,4.0;2,31,2286,51.0,10.0,19200.0,3.0;1,30,2848,46.0,12.0,23000.0,2.0;1,29,2988,50.0,11.0,30000.0,2.0
1,27,2000,50.0,9.0,23000.0,3.0;2,49,600,24.0,5.0,1500.0,2.0;1,32,2150,49.0,10.0,22000.0,3.0;1,26,2016,50.0,6.0,13600.0,4.0;1,56,1592,40.0,34.0,18500.0,4.0;1,26,2862,40.0,8.0,29539.0,1.0
1,46,2261,48.0,28.0,30000.0,2.0;2,33,600,14.0,12.0,5600.0,3.0;2,28,768,51.0,9.0,2500.0,1.0;2,29,1760,44.0,7.0,5000.0,3.0;1,29,1880,49.0,11.0,15001.0,1.0;2,58,1008,50.0,30.0,3812.0,3.0
1,31,1484,37.0,13.0,7108.0,3.0;2,37,1996,49.0,8.0,8468.0,2.0;1,39,1968,49.0,21.0,16843.0,3.0;1,36,1866,47.0,18.0,10360.0,3.0;2,51,2112,48.0,30.0,15025.0,3.0;2,31,1460,41.0,13.0,25000.0,2.0
