"timestep","total-effect","direct-effect","indirect-effect","spurious-effect"
0,0.233422524212045,0.209325919585589,0.0230600668399863,-0.00103653778646904
1,0.283299451663819,0.277177248644908,0.000800320224592357,-0.00532188279431859
2,0.277486743952009,0.295700844248908,-0.0214464969065424,-0.00323239660964277
3,0.308506061934316,0.313269424587094,-0.0130212852923631,-0.00825792263958459
4,0.398322695395844,0.40535748287676,-0.0144626468461922,-0.00742785936527627
5,0.350913534907304,0.346556447788391,-0.00408146956983727,-0.00843855668874979
6,0.361307973082584,0.35717314142153,-0.0106595420202899,-0.0147943736813431
7,0.376020470762124,0.366264745220521,0.00772991803315708,-0.002025807508446
8,0.393918579354457,0.385493739331067,0.00216054453902437,-0.00626429548436638
