,timestep,total-effect,direct-effect,indirect-effect,spurious-effect
0,0,0.34357682958310465,0.34300666700916754,0.0005560493315397363,1.4113242397348137e-05
1,1,0.39092760728686116,0.3903105160355693,0.0006606433661832673,-4.355211489143615e-05
2,2,0.4273489154191788,0.4265539361315882,0.0007433063421906788,5.167294539995293e-05
3,3,0.48971623569174777,0.48887474091595234,0.0008437373800502836,-2.2426042548598506e-06
4,4,0.539578709135784,0.5387070494470847,0.0008433964018333028,2.8263286866056185e-05
5,5,0.5279398182034913,0.5271311186278752,0.0008370409865898741,-2.8341410973782016e-05
6,6,0.5211718482429244,0.5203794749708373,0.0008725516453894993,-8.017837330228632e-05
7,7,0.551676983544303,0.5506214016553158,0.0008890197935872837,0.00016656209539990015
8,8,0.5760474368502475,0.5749899908235259,0.0008114226496195439,0.0002460233771020764
