,timestep,total-effect,direct-effect,indirect-effect,spurious-effect
0,0,0.0288888888888889,0.02700969425801642,0.0018791946308724787,
1,1,0.051717171717171787,0.05022524413106137,0.0014919275861104168,
2,2,-0.022020202020202214,-0.016084049665711746,-0.005936152354490468,
3,3,-0.07242424242424257,-0.05899904570580489,-0.013425196718437683,
4,4,0.11313131313131286,0.11534775785913272,-0.002216444727819859,
5,5,-0.007474747474747904,0.0003243465407570881,-0.007799094015504992,
6,6,0.022525252525252337,0.022524770119038945,4.824062133919362e-07,
7,7,0.027777777777777683,0.03773960438483669,-0.00996182660705901,
8,8,0.017676767676767527,0.022681920979113875,-0.0050051533023463485,
