,timestep,total-effect,direct-effect,indirect-effect,spurious-effect
0,0,0.3429923693615377,0.3424110384894701,0.000581330872067653,
1,1,0.39196368202453385,0.39128540305010906,0.0006782789744247817,
2,2,0.42618081715444783,0.4254175744371824,0.0007632427172654386,
3,3,0.4898097169902441,0.48893730331638835,0.0008724136738557846,
4,4,0.5388051772433108,0.5379327039457759,0.0008724732975349712,
5,5,0.528928812904472,0.5280561607358994,0.0008726521685725303,
6,6,0.5239544093499467,0.5230452674897121,0.0009091418602346228,
7,7,0.55341446923597,0.5525780682643429,0.0008364009716271834,
8,8,0.5780933062880322,0.5773178407165336,0.0007754655714986564,
